SIGLA,GR,MATERIA,DOCENTE,DIA1,HORA1,DIA2,HORA2,DIA3,HORA3,DIA4,HORA4
SIGLA,GR,MATERIA,DOCENTE,DIA1,HORA1,DIA2,HORA2,DIA3,HORA3
LIN100,MV,INGLES TECNICO I,SORIA AVILA EVELYN VANESA,Mar,Virtual,,,
LIN101,SB,INGLES TECNICO II,CLAURE MEDRANO DE OROPEZA ELIZABETH,Lun,08:30-10:00,Mie,08:30-10:00,Vie,08:30-10:00
LIN101,SZ,INGLES TECNICO II,SUAREZ UGARTECHE YAMILE,Lun,08:30-10:00,Mie,08:30-10:00,Vie,08:30-10:00
LIN101,SC,INGLES TECNICO II,SORIA AVILA EVELYN VANESA,Lun,13:45-16:00,Mie,13:45-16:00,,
LIN101,SE,INGLES TECNICO II,APAZA LEON ROSNAY,Lun,07:00-08:30,Mie,07:00-08:30,Vie,07:00-08:30
INF418,SA,INTELIGENCIA ARTIFICIAL,VARGAS YAPURA EDWIN,Lun,18:15-20:30,Mie,18:15-20:30,,
ELC105,SA,INTERACCIÓN HOMBRE COMPUTADOR,PEINADO PEREIRA MIGUEL JESUS,Lun,20:30-22:00,Mie,20:30-22:00,,
RDS320,SA,INTERPRETACION DE SISTEMAS Y SEÑALES,RISSIOTTI VELASQUEZ EDGAR ZACARIAS,Lun,16:00-18:15,Mie,16:00-18:15,,
INF110,SD,INTRODUCCION A LA INFORMATICA,MOLLO MAMANI ALBERTO,Lun,18:15-20:30,Mie,18:15-20:30,,
INF110,SF,INTRODUCCION A LA INFORMATICA,GARZON CUELLAR ANGELICA,Lun,08:30-10:00,Mie,08:30-10:00,Vie,08:30-10:00
INF110,SI,INTRODUCCION A LA INFORMATICA,VEIZAGA GONZALES JOSUE OBED,Lun,09:15-11:30,Mie,09:15-11:30,,
INF110,SN,INTRODUCCION A LA INFORMATICA,TAPIA FLORES LUIS PERCY,Lun,18:15-20:30,Mie,18:15-20:30,,
INF110,SS,INTRODUCCION A LA INFORMATICA,ZUNA VILLAGOMEZ RICARDO,Lun,16:45-18:15,Mie,16:45-18:15,Vie,16:45-18:15
INF110,SZ,INTRODUCCION A LA INFORMATICA,CONTRERAS VILLEGAS JUAN CARLOS,Lun,07:00-08:30,Mie,07:00-08:30,Vie,07:00-08:30
INF110,Z1,INTRODUCCION A LA INFORMATICA,LOPEZ WINNIPEG MARIO MILTON,Lun,07:00-08:30,Mie,07:00-08:30,Vie,07:00-08:30
INF110,Z2,INTRODUCCION A LA INFORMATICA,GARZON CUELLAR ANGELICA,Lun,10:00-11:30,Mie,10:00-11:30,Vie,10:00-11:30
INF110,Z4,INTRODUCCION A LA INFORMATICA,CONTRERAS VILLEGAS JUAN CARLOS,Lun,13:45-15:15,Mie,13:45-15:15,Vie,13:45-15:15
INF110,Z5,INTRODUCCION A LA INFORMATICA,MOLLO MAMANI ALBERTO,Lun,18:15-19:45,Mie,18:15-19:45,Vie,18:15-19:45
INF110,26,INTRODUCCION A LA INFORMATICA,LOPEZ WINNIPEG MARIO MILTON,Lun,09:15-11:30,Mie,09:15-11:30,,
INF110,SY,INTRODUCCION A LA INFORMATICA,ALIAGA HOWARD SHARON KENNY,Lun,10:00-11:30,Mie,10:00-11:30,Vie,10:00-11:30
INF110,SB,INTRODUCCIÓN A LA INFORMATICA,ZUNA VILLAGOMEZ RICARDO,Lun,10:00-11:30,Mie,10:00-11:30,Vie,10:00-11:30
INF110,Z3,INTRODUCCIÓN A LA INFORMATICA,ZUNA VILLAGOMEZ RICARDO,Lun,15:15-16:45,Mie,15:15-16:45,Vie,15:15-16:45
ROB101,W1,INTRODUCCIÓN A ROBOTICA,FLORES GUZMAN VALENTIN VICTOR,Lun,16:00-18:15,Mie,16:00-18:15,,
MAT329,SB,INVESTIGACION OPERATIVA I,SANCHEZ HERVAS JOSE GABRIEL,Lun,19:45-21:15,Mie,19:45-21:15,Vie,19:45-21:15
MAT329,SZ,INVESTIGACION OPERATIVA I,SUAREZ CESPEDES MELBY,Lun,21:15-22:45,Mar,19:45-22:45,,
